, текст_обращения,label
11,пациентка обращаться пз запись ковид консультация цена возмущать пациент принимать маска огромный столпотворение человек медсестра бейджик работать перчатка пациентка медсестра очень долго отказываться записывать пациентка пцр ковид мотивировать очень пациент пациентка свой очередь отказываться записываться самостоятельно т пациент отстоять свой очередь просьба пациентка рассказывать подготовка анализ вызывать медсестра брать анализ снимать перчатка начинать искать документ пациентка недовольный подготовка анализ распечатывать лист сообщать цена анализ указывать дверь пз т считать весь должный озвучивать слух требовать доносить медсестра должный оказывать полный консультация т онлайн делать неудобно,1
12,пациент первый обращаться пз написать заявление получение документ налоговый вычет пациент медсестра каждый отказывать  « копия документ работать принтер время подходить »,1
13,претензия хотеть клиент  –  регистратор корректно вносить адрес электронный почта причина пациент смочь получать результат сразу готовность,3
14,пациент недовольный сотрудник отказывать прием биоматериал оака капиллярный кровь ребенок 1 месяц пациент заранее ознакомляться информация сайт горячий линия пациент проживать город время проводить дорога крайне недовольный отказ пациент просить разбираться принимать мера ждать звонок администрация,1
15,долгий ожидание пз сотрудник регистрировать проводить забор анализ,0
16,"сдача анализ обращаться фио пз пациент просить налаживать работа пз проводить работа сотрудник сотрудник отказывать взятие анализ т приходить запись сдача кровь 14.00 пациент пз никто кровь взять ),  пациент сообщать запись принимать 7 11 след день приезжать 6.30 приходить сотрудник сообщать сегодня принимать сбербанк  –  пациент недовольный работа пз сотрудник относиться человек нехорошо говорить точный информация считать ненормально приходиться повышать голос требовать взять анализ живой очередь",1
17,пациент записывать пз сдача анализ пцр коронавирус приходить рано 15 минута медсестра крик пациент выгонять пз никто разрешать посидеть тепло,1
18,обращение пз медсестра вести очень грубо пациентка настолько понравиться обращение медсестра решать обращаться анализ лаборатория просить доносить медсестра вести пациент,1
19,обращение пз клиент указывать необходимо проходить анализ итог проводить оака вносить заказ пз объяснять необходимо повторно обращаться проводить забор кровь клиент согласный т ребенок пациент 2 год,1
20,пациент устраивать анализ пцр коронавирус выполнять ранее указанный срок сдавать анализ,0
21,постоянный пациент недовольный пз работать 1 сотрудник причина оформление идти очень медленно пациент длительно ожидать свой очередь улица холод пациент считать администрация уважать свой пациент пациент просить разбираться принимать мера ждать звонок администрация течение 2 х рабочий день,0
22,пациент обращаться пз медсестра пропускать вперед хотя очередь пациент грубить,0
23,суть претензия   –  пациент записывать 14.00 сдача анализ пцр коронавирус подходить назначать время медсестра сказать ожидать улица пациент простаивать час медсестра выходить отказывать прием время пациент проходить пациент просить разбираться принимать мера ждать звонок администрация,0
24,пациент требовать навещать порядок кадр считать сотрудник работать пз иметь право брать кровь мазкий заниматься оформление,3
25,пз отказывать безналичный оплата отправлять наличный деньги оплата наличные позвонить оставлять второй жалоба выдавать кассовый чек сообщать составлять жалоба министерство здравоохранение,3
26,пациент недовольный качество обслуживание пз очередь двигаться очень медленно человек очень медленно принимать пациент намеривать жаловаться роспотребнадзор требовать лишение лицензия очень ждать обратный связь руководство,3
27,пз человек выполнять весь функция регистратор медсестра уборщица человек здание пускать человек очередь стоять мороз 40 минута т сотрудник выходить кабинет,0
28,пациент обращаться пз очень большой очередь дистанция 2 час ждать очередь сдавать анализ смочь пациент 3 день ездить пз сдавать анализ мочь принимать мера добавлять сотрудник изменять ситуация обратный связь,0
29,претензия хотеть клиент анализ  « посев условно патогенный микрофлора »  дата выполнять заявлять срок,0
30,пациент недовольный пз хамский отношение медсестра медсестра представляться носить бейдж обращаться бабушка медсестра объяснять скидка получать предъявление пу след день обращаться отец вновь хамский отношение медсестра сказать договор иметь право заполнять отец дочь мочь вносить никакой данные,3
31,пациентка приходить пз прождать улица свой очередь 10.15 м отказываться взять анализ антитело коронавирус медсестра сказать  « некогда приходить завтра » пз весь 2 человек,0
32,пациент недовольный исследование код 796 797 дата выполнять срок установленный лаборатория причина пациент смочь начинать обучение учреждение пациент считать лаборатория выполнять свой обязательство пациент просить разбираться принимать мера ждать срочный звонок администрация,3
33,пациент недовольный пз сочи 7 15 закрывать пациент крайне недовольный ситуация просить разбираться принимать мера ждать звонок администрация,3
34,пациент недовольный результат исследование антитело коронавирус ig m стоять высокий показатель пациент показатель должно плохой самочувствие пациент считать результат,0
35,"претензия хотеть клиент  –  пациент пз сдавать анализ моча общий анализ моча нечипоренко результат анализ приходить идеальный пациент пересдавать лаборатория анализ результат оказываться очень  « плохой »,  считать лаборатория ставить жизнь угроза жаловаться весь инстанция",1
36,пациент записывать сайт обращение пз медсестра уточнять : « планировать сдавать мазок кровь » пациент сообщать интересовать анализ антитело пациент медсестра порекомендовать сдавать пцр коронавирус итог производить забор качество мазок получать результат пациент думать результат пцр коронавирус указывать информация антитело,3
37,пациентка недовольный пз очень медленно принимать пациент пз приходить 8.00 10.30 смочь сдавать анализ звонить данна жалоба дважды,0
38,пациент сдавать анализ антитело коронавирус пз пациентка недовольный результат исследование муж одинаковый соединять врач консультант пациентка требовать пояснение,1
39,доводить ваш сведение горячий линия обращаться фио дата оформлять вызов медсестра дом пациент ожидать медсестра сдача анализ дом 7.00  –  13.00 медсестра предупреждать 13 10 задерживаться из-за пробка город клиент позвонить гл день 13 20 поверять город пробка недовольный столько время пациент еда ожидать мочь агрессивный,0
40,претензия хотеть клиент  –  сдавать анализ 3 человек лаборатория выдавать 2 результат из-за впускать самолет просить оплата производить повторный тестирование 3х человек,0
41,пациентка обращаться пз 15 час принимать анализ около 16 час жалоба долгий обслуживание медсестра смочь взять анализ антитело коронавирус пациент медсестра искалывать весь вена посоветовать обращаться завтра специалист пациент просить разбираться предоставлять скидка ждать звонок администрация,0
42,пациент обращаться пз медсестра грубо общаться торопить пациент просить помощь пациент подавать пробирка обращать,3
43,обращаться пациент жалоба отсутствие горячий линия врач консультант врач рабочий день сокращать находиться отпуск причина пациент мочь воспользоваться услуга интерпретация результат пациент просить разбираться принимать мера ждать звонок администрация,3
44,пациент недовольный платный обращение консультация врач прием выясняться сотрудник пз распечатывать результат прошлогодний дата пациент недовольный сотрудник допускать ошибка внесение адрес электронный почта причина пациент получать результат сразу готовность пациент код получение результат смс сообщение получать документ оплата пациент недовольный зря заплатить врач прием,3
45,пациент недовольный пз находиться медсестра очень медленно обслуживать пациент около 5 человек час образовываться большой очередь около 10 человек ждать улица пациент считать пз необходимый администратор оформление документ,1
46,пациентка записывать организация сбербанк пз сдача пцр коронавирус клиент находиться пз 14.00 14.40 медсестра отказываться принимать анализ ссылаться плохо печатать принтер час прийти клиент нужно оставлять краска,1
47,пациент обращаться пз оформление электронный почта вносить ошибка пациент получать результат пациент недовольный срок выполнение анализ анализ выполнять рано,3
48,пациент возмущать лаборатория принимать анализ ковид госпитализация знать выходить новый закон говориться госпитализация пцр мазок требоваться хотя лаборатория предупреждать пациент недовольный весь лаборатория консультировать врач расшифровка анализ мочь дождаться 2 день пациент просить разбираться вернуть денежный средство ждать звонок администрация,0
49,пациентка длительный время пытаться дозваниваться пз записываться прием педиатр пз никто брать трубка оператор брать контактный данные передавать пз звонок по-прежнему поступать обращение лично пз отказываться записывать врач,0
50,пациент обращаться пз жаловаться хамский поведение сотрудник медсестра регистратор лицо безразлично взять анализ ковид  (« помазать »),3
51,"претензия хотеть клиент  –   оформление заказ указывать неверный данные фио ),  зарегистрировать заказ сын вместо отец ждать звонок администрация",3
52,пациент обращаться указанный пз сдача анализ свой ребенок пациент недовольный свой очередь приходиться ждать улица снегопад мороз пациент считать случай необходимый предварительный запись просить разбираться принимать мера,0
53,пациент заранее ознакомляться адрес филиал  « 2гис » пациент обращаться удобный филиал пз сдача биоматериал исследование пцр  « коронавирус » пациент недовольный  « 2гис »  никакой информация ограничение прием биоматериал ковид пациент потерять деньги время пациент просить разбираться принимать мера ждать звонок администрация,1
54,претензия хотеть клиент –  пациент хотеть записываться узи телефон сотрудник пз нахамить узи записывать предлагать никакой время,3
55,претензия хотеть клиент  –  сотрудник пз внимательный давать сотрудник лист назначать анализ вносить взять весь анализ считать обязанный ничто проверять,3
56,"претензия хотеть клиент  –  пз работать квалифицированный сотрудник мочь назначать анализ информация медсестра являться врач мочь назначать анализ слышать ),  разговор позволять оскорблять сотрудник пз",3
57,претензия хотеть клиент  –  клиент обращаться пз сдача анализ  « пцр фемофлора » горячий линия предоставлять информация проводиться забор исследование 19 00 пз отказывать причина т отъезд машина клиент обращать внимание медицинский персонал вести корректно смеяться,1
58,пациент недовольный результат исследование английский язык клиент допускать ошибка пациент недовольный результат вносить паспортный данные пациент утверждать сотрудник оформление пообещать результат паспортный данные вносить просить разбираться ждать срочный обратный связь пациент завтра вылет,1
59,пациент обращаться пз получение результат отказывать проводиться забор исследование ковид 19 сотрудник сбербанк человек регистрировать провожать забор анализ связь долгий ожидание,1
60,пациент крайне недовольный вместо исследование  « мно »  выполнять  « ачтв » пациент просить разбираться принимать мера ждать звонок администрация,3
61,претензия хотеть клиент  –  недовольный изначально выдавать лицензия указывать договор пз медсестра отказываться помогать вопрос клиент недовольный пз работать сотрудник ждать обратный связь итог рассмотрение,3
62,претензия хотеть клиент  –  пациент обращаться направление врач пз сдача анализ пациент попросить подсказывать анализ сдаваться 3 5 день менструальный цикл регистратор начало по-хамски вести отношение пациент отказываться  « подсказывать »  анализ необходимо сдавать,3
63,"претензия хотеть клиент  –   обращаться самостоятельно пз г краснодар проинформировать регистратор исследование  « тромбодинамика »,  сдаваться зависимость прием л гепарин пациент направлять пз –  оформление давать пз проинформировать время спрашивать сколько делать укол обращение лечить врач готовый результат врач сказать анализ сдавать верный",1
64,пациент недовольный грубый обращение сотрудник пз пациент записывать 12.00 пцр ковид 12 час закрывать дверь пациент технический перерыв пациент довольный приходиться ждать улица,0
65,"пациент жаловаться сотрудник пз взятие кровь пациент появляться гематома пол рука пациент ),  вопрос почему синяк медсестра отвечать  « проблема » хотеть уточнять причина мочь повлиять появление гематома жаловаться обращаться частный лаборатория платить деньги мучиться боль место",3
66,претензия хотеть клиент  –  недовольный 30 мина брать анализ несколько прокалывать игла итог ребенок синяк анализ выбраковывать клиент прозвонить сообщать брак ждать обратный звонок итог рассмотрение жалоба,3
67,претензия хотеть клиент  –  пациент обращаться пз первый каждый хамский отношение грубить постоянно кричать,3
68,пациентка крайне недовольный готовность результат анализ приходить электронный почта пациент просить разбираться принимать мера ждать звонок администрация,3
69,претензия хотеть клиент  –  пациент обращаться пз восстановление чека ранее проинформировать горячий линия место необходимо составлять заявление восстановление документ медсестра подобающий начало вести диалог отношение пациент сказать ничто известно полный информация владеть горячий линия документ восстанавливаться сказать обращаться вопрос праздник,3
70,"претензия хотеть клиент  –  пз анализ лежать беспорядочно , « навалить куча »,  перепутывать чей сомневаться анализ потеряться пациент сделать фотография требовать течение 2 час связываться руководство давать объяснение угрожать оставлять жалоба государственный служба течение весь разговор использовать нецензурный брань",3
71,претензия хотеть клиент  –  обращаться пз распечатка реузльтат анализ 18.30 закрывать график пз работать 19.00 пациент ждать обратный связь,0
72,претензия хотеть клиент  –  довольный работа медсестра пациент медсестра протирать место забор анализ спиртовой салфетка плохо прикреплять пластырь ждать обратный связь итог рассмотрение,3
73,претензия хотеть клиент  –  недовольный медсестра впз брать анализ оформлять заказ недовольный медсестра пациент течение час мочь верно заполнять данные пациент адрес эл почта постоянно допускать ошибка,3
74,претензия хотеть клиент –  медсестра находить карта дисконтный база начислять накопление карта пациентка требовать начисление накопление размер 3000р,3
75,пациент недовольный результат анализ пцр фемофлора 16 результат указывать недостаточный кол материал пациент заинтересовывать результат соблюдать подготовка правильно специально обращаться лаборатория пациент считать анализ из-за недостаточный количество материал адекватный,3
76,"пациент недовольный сотрудник оформление невнимательный допускать ошибка персональный данные пациент недовольный сотрудник неверно проинформировать пациент срок получение результат комплекс  « определение стадия инфекционный процесс ковид 19 »,  пообещать выдача результат дата сотрудник проинформировать пациент анализ выполняться рано сотрудник пз смочь исправлять дата формирование документ нужный результат готовый рано обещать срок самый сотрудник пз  « наказывать пациент »  денежный сумма пациент просить разбираться принимать мера ждать звонок администрация",0
77,претензия хотеть клиент  –  пациент недовольный пз медсестра оформлять заказ брать анализ работать сотрудник,3
78,медицинский сотрудник работать пз непозволительный общаться пациент,3
79,претензия хотеть клиент  –  пациент недовольный пз большой очередь долгий заполнение документ выдавать документ заполнение улица мочь ускорять процесс,0
80,пациент забывать выдавать результат английский язык пз медперсонал очень рассеянный супруга искалывать рука сдача анализ накладывать повязка обратный связь просить давать эл почта,3
81,пациент недовольный пз лавочка,1
82,"претензия хотеть клиент  –  пациент недовольный задержка результат сдавать анализ дата момент звонок анализ готовый звонок бак отдел сказать материал поступать след день забор работа пациент платный запись врач город дата ),  должный предоставлять результат исследование",0
83,претензия хотеть клиент  –  пациент создавать заявка 10 скидка сайт сл пациент недовольный медсестра смочь применять цена привязывать заявка № 186501 пациент утверждать медсестра находить заявка смочь применять скидка,0
84,претензия хотеть клиент  –  согласный выполнять анализ мочь просить комментарий выполнение анализ анализ сдавать разница 3 день анализ лейкоцит 3200 второй анализ 3 день результат совершенно комментарий врач консультант пациент устраивать,1
85,претензия хотеть клиент  –  справка инвалидность сделать скидка утверждать документ предоставлять подходить предлагать воспользоваться купон,0
86,претензия хотеть клиент  –  работать 1 сотрудник оформлять документ выполнять забор анализ происходить очень долго очередь полный оформление пациент занимать 15 20 минута сегодня пациент обращаться сдача анализ просиживать очередь длительный время сдавать анализ медсестра становиться разбираться пациент возврат денежный средство пациент прождать 30 40 минута уезжать сдавать анализ,0
87,претензия хотеть клиент  –  пациент медицинский сестра отказываться производить забор кровь медицинский сестра хотеть взять кровь вена кисть пациент место вена плохой подсказывать вена медицинский сестра сказать учить отказываться вообще производить забор кровь кровь все-таки взять медсестра пациент угрожать сделать 50 дырка крайне возмущать отношение,3
88,претензия хотеть клиент  –  отказ внесение результат пцр ковид марка срок годность тест система хамский отношение сотрудник,3
89,претензия хотеть клиент  –  обращаться пз сдача анализ кровь ребенок обращаться клиент медицинский сестра вести грубо поздороваться ребенок начинаться истерика муж обращаться держать ребенок рука подвигать стол медсестра накричать ничто кабинет трогать недовольный грубый обращение медицинский сестра пз анализ сдавать обращаться снова лаборатория желание,3
90,претензия хотеть клиент  –  оставлять жалоба оператор т неверно проинформировать график работа пз,3
91,претензия хотеть клиент  –  пациент жаловаться оператор колл центр пациент обращаться горячий линия запись пцр тест кровь антитело оператор записывать пациент 16 40 проинформировать пациент мочь сдавать кровь мазок 16 40 соблюдать подготовка обращение пациент пз назначать время сотрудник отказывать прием кровь объяснять отказ кровь приниматься первый половина день машина уезжать лаборатория 14 00 пациент недовольный впустую потратить свой время искать оставлять дома малыш,1
92,претензия хотеть клиент  –  хотеть проводить анализ просить изначально регистратор оформлять анализ бегать писать заявление возврат хотеть,3
93,"претензия хотеть клиент  –  пациент : « равнодушный обращение пациент давать возможность задавать интересовать вопрос »
",3
94,претензия хотеть клиент  –  м 3 х человек смочь взять кровь вена ребенок весь рука истыкивать обморок доходить  « рука весь синий ребенок истерик страх весь жизнь »  перчатка м менять пациент крайне возмущать,3
95,претензия хотеть клиент  –  ребенок взять кровь палец оака попытка взять венозный кровь выполнять неполноценный результат причина  « мало кровь »,3
96,претензия хотеть клиент  –  утверждать филиал работать некомпетентный невнимательный специалист время обращение медсестра досматривать список пациент общий анализ кровь соответственно взять пациент 3 год 3 месяц обращаться повторно медсестра вообще смочь взять кровь ребенок,3
97,претензия хотеть клиент  –  пациент жаловаться удобный ступенька инвалид тяжело подниматься узкий пологий ступень поручень пандус дверь открываться удобно подаваться сторона,0
98,претензия хотеть клиент обращаться сегодня сдача анализ аллерген мед сестра сделать замечание ребенок кашлять короновирус попросить надевать маска клиент отдавать свой маска ребенок оставаться маска регистратура маска мед сестра швырнуть маска лицо : “ свой иметь ” клиент отказываться заполнять документ сдача анализ уходить клиника общаться вежливо попросить маска,0
99,претензия хотеть клиент  –  пациент обращаться сдача анализ оформляться никто спрашивать дисконтный карта пациент сказать карта регистратор отвечать поздно говорить карта распечатывать пациент попросить сделать отмена таки добавлять карта товарный чек регистратор отвечать отказ сказать карта пользоваться итог пациент сдавать анализ учет дисконтный карта недовольный,0
100,претензия хотеть клиент  –  клиент сдавать анализ анти коронавирус выполняться течение 2 х сутки считать день сдача пз сориентировать результат 29.10 9 00 результат анализ находиться стадия выполнение оставлять жалоба вводить заблуждение пз перевод звонок пз регистратор сказать смена поэтому нести ответственность,0
101,претензия хотеть клиент  –  недовольный регистратор грубить вести неподобающий указывать ошибка фамилия регистратор сказать  « внимательно читать » пациент кидать бумага требоваться обратный связь итог рассмотрение жалоба,3
102,претензия хотеть клиент  –  сотрудник лаборатория принимать штрих код скидка 300 рубль приходить почта сказать оборудование чтение вообще знать штрих код,0
103,претензия хотеть клиент  –  пациент обращаться пз забирать результат анализ сделать смочь филиал закрывать перерыв пациент пункт забор указывать перерыв 11 45 12 00 обращаться 12 20 дверь закрывать хотеть расписание перерыв отредактировать,0
104,претензия хотеть клиент  –  пациент сдавать анализ 287 предварительно обращаться горячий линия врач консультант сказать сдавать анализ пациентка переболеть ковид 19 1.5 неделя назад утверждать анализ сдавать несвоевременный т терапевт наблюдаться сказать сдавать анализ ранее месяц заболевание требовать вернуть денежный средство,1
105,претензия хотеть клиент  –  пациент обращаться сдача пцр тесто запись приходить 14 18 сотрудник сказать сдача необходимый предварительный запись пациент попросить предоставлять документ указывать время работа пз время взятие биоматериал указывать пцр тест запись сотрудник отказываться становиться хамить выгонять пациент оставлять жалоба сайт просить разбираться сотрудник ждать обратный связь,0
106,претензия хотеть клиент  – обращаться лаборатория сдача анализ антитело м иды госпитализация медсестра сказать выполняться новый совместный анализ м иды стоимость 700рублей итог выполнять анализ сотрудник лаборатория мочь лишаться возможность госпитализация требовать возврат денежный средство компенсация подавать досудебный претензия медсестра ждать ответ,1
107,"претензия хотеть клиент обращаться дочь линия связь сегодня отец смочь сдавать анализ пз из-за зависать компьютер пз возмущать мед персонал обращаться хамски грубый форма отвечать вопрос пациент ранее лаборатория сдавать пцр вместе обычный анализ отказывать отвечать   : « » , утверждать подтверждение т постоянный клиент просить разбираться ситуация отец пожилой онкобольной реагировать остро случаться позвонить дочь дрожать голос",3
108,"претензия хотеть клиент  –  недовольный сдача анализ просчитывать скидка 10 %,  предъявлять карта карта 20 %) недовольный непрофессионализм администратор просить сделать перерасчет требоваться обратный связь",0
109,претензия хотеть клиент  –  недовольный приходить пз сдавать анализ ковид м сказать одевать бахила улица пз допускать сдавать анализ пациент ждать звонок администрация пациентка перезаписывать 16.00 день т поесть,1
110,претензия хотеть клиент  –  пациент обращаться пз уточнять информация анализ 15 минута ждать очередь время пациент находить информация комплекс анализ интересовать попросить регистратор сделать распечатка комплекс регистратор отказывать ссылаться приходить пациент запись пцр тест нужно обслуживать пациент недовольный помогать пз ждать обратный связь,1
111,претензия хотеть клиент  –  обращаться ребенок сдача анализ бассейн общий очередь сдавать анализ ребенок очередь пропускать хотя baby lab клиент сдавать здоровый больной пациент пцр ковид антитело пациент оплачивать нужный анализ ребенок нужно взять соскоб энтеробиоз вместо анализ взять оака ребенок выходить слеза мать пациент спрашивать получаться медсестра отвечать перепутывать пациентка итог соскоб взять пациент недоумение работа филиал очень хотеть поговорить руководство работа филиал ждать обратный связь,0
112,претензия хотеть клиент  –  сегодня обращаться сдача анализ ребенок 7 год п з обращаться часто ранее брать анализ аккуратно довольный сегодня анализ брать медсестра напугать ребенок искалывать весь рука мама останавливать обращаться ресепшн приходить медсестра взять спокойно быстро анализ пациентка медсестра работать ребенок должный оставлять отзыв книга жалоба предложение ждать ответ обращение горячий линия,3
113,претензия хотеть клиент  –  пациент приезжать населенный пункт сдача анализ сдавать хотеть код 520 оформлять договор ожидать очередь пациент подходить мед персонла сказать анализ брать работать стажер стажер бояться брать анализ попросить приезжать 2 день сдача анализ пациент недоумение потратить время деньги дорога просить руководство разбираться почему работать квалифицированный сотрудник бояться брать анализ ждать обратный звонок,0
114,претензия хотеть клиент  –  пациент беременный находиться 35ой неделя беременность обращаться пз сдача гинекологический мазок жалоба мед сестра мед сестра грубо вести насмехаться пациент взятие анализ продолжать насмехаться издеваться очень больно неприятный взять мазок пациент пригрозить обращаться контактный центр сказать фамилия мед сестра пациент просить проводить беседа работник,3
115,претензия хотеть клиент  –  сдавать пцр ковид пациентка : « м повреждать слизистая оболочка оба ноздря нос течение 3х час идти кровянистый выделение замечание м никак отреагировать » клиент хотеть узнавать фио м давать обратный связь,3
116,претензия хотеть клиент  –  пациент обращаться пз сдача анализ обслуживать сотрудник вести запись принимать оплата заполнять документ брать анализ пациент попросить мед сестра сменить перчатка взять анализ мед сестра отказывать становиться повышать тон хамить итог пациент анализ сдавать мед сестра соблюдать гигиенический норма,0
117,претензия хотеть клиент  –   позвонить горячий линия высылать результат анализ электронный почта заказ адрес эл почта указывать утверждать предоставлять почта регистратор пз чек сохраняться номер телефон код приходить вносить эл почта заказ возможность пз забирать результат хотеть контактировать человек довольный работа сотрудник вносить эл почта высылать код номер телефон получать анализ,0
118,претензия хотеть клиент  –  недовольный м пз сказать анализ qr код появляться гос услуга отображаться требовать возврат ден средство пациент ждать звонок администрация,0
119,претензия хотеть клиент  –  жалоба сотрудница пз накричать пациентка просьба помогать заполнение документ итог помогать медработник брать анализ сегодня получение анализ ситуация повторяться,3
120,"претензия хотеть клиент  –  пац являться доктор приходить сдавать антитело ag ),  запись утренний время регистратор сказать требоваться запись сдача анализ узнавать изначально подходить пациент сидеть маска подбородок отвечать ухмыляться клиент попросить надевать маска правило сотрудница отвечать являться заразный окружающие маска мочь надевать удобно мед сестра  –  сильно хамить обращать решать тон разговаривать отказываться предоставлять документ иметь право делать забор анализ отсутствие сертификат пациент бейджик сотрудник пз",0
121,претензия хотеть клиент  –  пациент уточнять момент обращение пз  –  загружаться данные портал гос услуга  « анти коронавирус » регистратор сориентировать наш лаборатория автоматически загружаться результат просить разбираться ситуация предоставлять обратный звонок пациент вводить заблуждение предоставлять корректный информация,0
122,претензия хотеть клиент  –  пациент сдавать пцр тест коронавирус супер cito пз результат анализ просить выдавать распечатывать вид живой печать подпись ответственный лицо пз предупреждать м обращаться результат м просто распечатывать результат сказать нчем мочь место требование формат результат анализ пригодный иной случай результат анализ выдавать надлежащий вид 9 00 13.11 обращаться суд взыскание сгорать путевка,0
123,"претензия хотеть клиент  –  обращаться пз забор исследование  « анти коронавирус »,  время 11 30 отказывать ссылаться забор оканчивать мед сестра необходимо успевать принимать пища пациент обращать внимание мед сестра принимать 1 пациент 20 минута последний очередь отказывать пациент сложно выдерживать время 4 час голод мед сестра относиться бездушно требоваться обратный звонок",1
124,претензия хотеть клиент  –  пациент записывать пцр ковид код 554 16 20 пациент : « задерживаться 5 минута м сказать принимать 16 20 поздно » просить обратный связь настойчиво,3
125,претензия хотеть клиент  –  нужно срочно попадать прием терапевт оплачивать принимать ничто толком объяснять просить либо принимать либо вернуть деньги сотрудник филиал ничто хотеть решать отправлять  –  позвонить пациент просить решение вопрос обратный связь,3
126,претензия хотеть клиент  –  беременный девушка обращаться пз сдача анализ попросить ожидать улица связь маленький помещение кроме девушка улица ожидать пациент просить решать возникать ситуация выделять помещение лаборатория вмещать пациент просить обратный звонок,1
127,претензия хотеть клиент  –  клиент вчера обращаться пз уточнение информация анализ анти коронавирус место полностью проконсультировать озвучивать стоимость анализ  « 700 руб » обращение сегодня пз оформление заказ выставлять итоговый стоимость оплата  –  790 руб клиент возникать дополнительный вопрос почему изначально оговаривать стоимость размер 700 руб сегодня  –  790 руб регистратор обьяснивать разница производство тест-система отечественный американский клиент спрашивать : « почему предоставлять право выбор анализ » регистратор медицинский сестра сказать : «  –  терапевт » человек ожидать очередь начинать агрессивный вести отношение клиентка налетать из-за задерживать очередь сотрудник пз оставаться сторона начинать повышать тон ухмыляться клиентка попросить предоставлять книга жалоба долгий время сотрудник мочь находить заказ клиентка аннулировать конец выход отделение сотрудница сказать : « извинять » клиент просить обращать внимание отношение относиться сотрудник пациент смочь пресекать ситуация пациент начинать проявлять агрессия клиентка,1
128,претензия хотеть клиент  –  пациентка заранее связываться гл узнавать подготовка урогенитальный мазок оператор сказать двое сутки необходимо исключать применение вагинальный свеча м нахамить клиент сказать ничто понимать гл никто ничто понимать брать б м доводить состояние  « трясучка »  рука м пациентка связываться оператор повторять информация подготовка м допускать повышение голос скандал взять б м м извиняться доводить нервный состояние беременный женщина,1
129,претензия хотеть клиент  –  обращаться пз предоставлять направление список требовать анализ пациент видеть оплачивать результат поступать пац утверждать мед сестра взять показатель нужно 123 ат тпо взять 287 антитело  – короновирус спрашивать почему происходить решать проблема решение ожидать обратный связь,0
130,"претензия хотеть клиент жаловаться пз смочь распечатывать результат анализ связь кончаться краска предлагать оператор направлять эл формат распечатывать самостоятельно пациентка отказываться сказать : « деньги отдавать анализ печатать ничто »
",0
131,претензия хотеть клиент  –  пациентка недовольный 11.40 м отказываться принимать анализ,3
132,претензия хотеть клиент  –   медсестра агрессивный грубый кричать вступать дискуссия просить обращать внимание поведение проводить беседа дальнейший обращаться пациент корректно спокойно просить применять серьезный дисциплинарный взыскание обратный связь,3
133,пациент недовольный качество обслуживание звонок пациент переводить оператор горячий линия указанный пз запись обследование узи брюшной полость пациент недовольный сотрудник позволять дерзкий хамский тон общение пациент высказывать свой недовольство звонок пациент переводить пациент считать поведение сотрудник недопустимый просить разбираться принимать мера обязательно ждать звонок администрация,3
